gt_instance_id,video,source_video,target_frame,decoded_target_frame,timestamp,decoded_timestamp,target_alignment_delta_ms,quality_group,class_id,class,gt_x1,gt_y1,gt_x2,gt_y2,raw_detected,raw_confidence,nearest_prev_detection_frame,nearest_prev_detection_offset,nearest_prev_detection_timestamp,nearest_prev_detection_confidence,nearest_next_detection_frame,nearest_next_detection_offset,nearest_next_detection_timestamp,nearest_next_detection_confidence,nearest_unambiguous_detection_distance,recoverable_pm1,recoverable_pm3,recoverable_pm5,ambiguous_pm1,ambiguous_pm3,ambiguous_pm5,notes
video1/v01_20-16_f00189_t06.36_clear/gt001,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,211.016,173.806,544.204,419.578,False,,,,,,186,1,6.4,0.2097,1,True,True,True,True,True,True,ambiguous_offsets=-1|+1|+2|+3|+4|-5
video1/v01_20-16_f00189_t06.36_clear/gt002,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,0.35,227.757,184.867,412.383,True,0.5291,184,-1,6.333333,0.6127,186,1,6.4,0.7332,1,False,False,False,False,False,False,raw_detected;ambiguous_offsets=-1|+1|-2|+2|-3|-4|+4|-5
video1/v01_20-16_f00189_t06.36_clear/gt003,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,159.936,1.329,351.603,266.954,True,0.3639,184,-1,6.333333,0.1942,186,1,6.4,0.2687,1,False,False,False,False,False,False,raw_detected;ambiguous_offsets=-1|+1|-2|+2|-3|-4|+4|-5
video1/v01_20-16_f00189_t06.36_clear/gt004,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,70.243,1.244,351.775,271.77,False,,,,,,186,1,6.4,0.1574,1,True,True,True,True,True,True,ambiguous_offsets=-1|+1|-2|+2|-3|+3|-4|+4|-5
video1/v01_20-16_f00189_t06.36_clear/gt005,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,552.04,52.14,639.727,247.687,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00189_t06.36_clear/gt006,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,352.829,27.723,552.267,191.096,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=-1|+1|+2|-5;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00189_t06.36_clear/gt007,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,44.592,0.939,157.777,49.864,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00189_t06.36_clear/gt008,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,166.156,0.998,544.703,412.746,False,,180,-5,6.2,0.1654,186,1,6.4,0.1749,1,True,True,True,True,True,True,ambiguous_offsets=-1|+1|-2|+2|-3|-4|+4|-5
video1/v01_20-16_f00189_t06.36_clear/gt009,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,8.251,90.66,149.736,243.449,False,,,,,,186,1,6.4,0.5329,1,True,True,True,True,True,True,ambiguous_offsets=-1|+1|-2|+2|-3|+3|-4|+4|-5
video1/v01_20-16_f00189_t06.36_clear/gt010,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,560.258,96.034,639.632,248.78,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00189_t06.36_clear/gt011,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,60,dining table,350.819,6.829,639.325,246.47,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00189_t06.36_clear/gt012,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,157.888,1.276,471.706,279.283,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=-1|+1|-2|+2|-3|-4|+4|-5;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00189_t06.36_clear/gt013,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,359.626,34.669,557.468,242.383,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=-1|+1|+2|+4|-5;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00189_t06.36_clear/gt014,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,6.839,77.646,186.579,272.167,True,0.3626,184,-1,6.333333,0.3752,,,,,1,False,False,False,False,False,False,raw_detected;ambiguous_offsets=-1|+1|-2|+2|-3|+3|-4|+4|-5
video1/v01_20-16_f00189_t06.36_clear/gt015,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,48.397,4.3,214.2,273.961,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=-1|+1|-2|+2|-3|+3|-4|+4|-5;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00189_t06.36_clear/gt016,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,159.17,0.849,398.105,180.0,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=-1|+1|-2|+2|-3|-4|+4|-5;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00270_t09.09_moderate_blur/gt000,video1,Movie on 13-08-2026 at 20.16.mov,270,267,9.087,9.1,13.0,moderate_blur,56,chair,0.927,0.0,325.386,410.931,False,,263,-4,8.966667,0.1551,,,,,4,False,False,True,False,False,False,
video1/v01_20-16_f00270_t09.09_moderate_blur/gt001,video1,Movie on 13-08-2026 at 20.16.mov,270,267,9.087,9.1,13.0,moderate_blur,56,chair,360.03,1.74,507.845,249.725,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00270_t09.09_moderate_blur/gt002,video1,Movie on 13-08-2026 at 20.16.mov,270,267,9.087,9.1,13.0,moderate_blur,56,chair,430.061,2.696,639.104,418.923,False,,,,,,,,,,,False,False,False,False,False,True,ambiguous_offsets=-4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00270_t09.09_moderate_blur/gt003,video1,Movie on 13-08-2026 at 20.16.mov,270,267,9.087,9.1,13.0,moderate_blur,56,chair,0.224,0.615,326.135,282.123,False,,,,,,,,,,,False,False,False,False,False,True,ambiguous_offsets=-4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00270_t09.09_moderate_blur/gt004,video1,Movie on 13-08-2026 at 20.16.mov,270,267,9.087,9.1,13.0,moderate_blur,56,chair,523.077,90.351,639.633,355.035,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00270_t09.09_moderate_blur/gt005,video1,Movie on 13-08-2026 at 20.16.mov,270,267,9.087,9.1,13.0,moderate_blur,56,chair,358.348,1.165,638.849,296.399,False,,,,,,,,,,,False,False,False,False,False,True,ambiguous_offsets=-4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00270_t09.09_moderate_blur/gt006,video1,Movie on 13-08-2026 at 20.16.mov,270,267,9.087,9.1,13.0,moderate_blur,56,chair,0.624,105.786,315.648,270.313,False,,,,,,,,,,,False,False,False,False,False,True,ambiguous_offsets=-4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00325_t10.94_clear/gt000,video1,Movie on 13-08-2026 at 20.16.mov,325,322,10.938,10.933333,-4.667,clear,56,chair,1.0,243.0,146.0,412.0,False,,321,-1,10.9,0.588,,,,,1,True,True,True,False,True,True,ambiguous_offsets=-3
video1/v01_20-16_f00325_t10.94_clear/gt001,video1,Movie on 13-08-2026 at 20.16.mov,325,322,10.938,10.933333,-4.667,clear,56,chair,152.0,1.0,428.0,408.0,False,,320,-2,10.866667,0.4666,,,,,2,False,True,True,True,True,True,ambiguous_offsets=-1|-2|-3
video1/v01_20-16_f00325_t10.94_clear/gt002,video1,Movie on 13-08-2026 at 20.16.mov,325,322,10.938,10.933333,-4.667,clear,56,chair,485.0,269.0,639.0,419.0,False,,,,,,324,2,11.0,0.1674,2,False,True,True,False,False,False,
video1/v01_20-16_f00325_t10.94_clear/gt003,video1,Movie on 13-08-2026 at 20.16.mov,325,322,10.938,10.933333,-4.667,clear,56,chair,458.0,12.0,639.0,418.0,False,,,,,,,,,,,False,False,False,False,True,True,ambiguous_offsets=-2|+2|-3;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00352_t11.85_moderate_blur/gt000,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,136.304,1.381,563.833,417.985,False,,,,,,350,1,11.866667,0.2915,1,True,True,True,True,True,True,ambiguous_offsets=+1|-2|-4|+4|-5
video1/v01_20-16_f00352_t11.85_moderate_blur/gt001,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,0.207,6.991,122.385,402.825,True,0.192,348,-1,11.8,0.3235,351,2,11.9,0.2034,1,False,False,False,False,False,False,raw_detected;ambiguous_offsets=-1|+1|-2|+3|+4
video1/v01_20-16_f00352_t11.85_moderate_blur/gt002,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,264.1,2.916,533.912,274.869,False,,,,,,350,1,11.866667,0.2677,1,True,True,True,True,True,True,ambiguous_offsets=+1
video1/v01_20-16_f00352_t11.85_moderate_blur/gt003,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,480.858,47.56,636.537,238.739,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=+1|+4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00352_t11.85_moderate_blur/gt004,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,277.601,1.828,430.449,194.027,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=+1|+4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00352_t11.85_moderate_blur/gt005,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,481.488,50.527,627.196,186.205,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=+1|+4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00352_t11.85_moderate_blur/gt006,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,237.639,2.6,554.331,383.004,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=+1|+4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00352_t11.85_moderate_blur/gt007,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,295.357,126.343,531.724,274.308,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=+1|+4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00352_t11.85_moderate_blur/gt008,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,195.053,96.278,576.308,414.784,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=+1|+4;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00352_t11.85_moderate_blur/gt009,video1,Movie on 13-08-2026 at 20.16.mov,352,349,11.846,11.833333,-12.667,moderate_blur,56,chair,276.124,1.658,515.425,205.746,False,,,,,,353,4,11.966667,0.1774,4,False,False,True,True,True,True,ambiguous_offsets=+1|+4
video1/v01_20-16_f00379_t12.75_severe_blur/gt000,video1,Movie on 13-08-2026 at 20.16.mov,379,377,12.755,12.766667,11.667,severe_blur,56,chair,200.0,5.0,635.0,426.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00379_t12.75_severe_blur/gt001,video1,Movie on 13-08-2026 at 20.16.mov,379,377,12.755,12.766667,11.667,severe_blur,56,chair,58.0,8.0,194.0,148.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00379_t12.75_severe_blur/gt002,video1,Movie on 13-08-2026 at 20.16.mov,379,377,12.755,12.766667,11.667,severe_blur,56,chair,564.0,16.0,639.0,244.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00433_t14.57_severe_blur/gt000,video1,Movie on 13-08-2026 at 20.16.mov,433,431,14.572,14.566667,-5.333,severe_blur,56,chair,365.0,70.0,638.0,426.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00433_t14.57_severe_blur/gt001,video1,Movie on 13-08-2026 at 20.16.mov,433,431,14.572,14.566667,-5.333,severe_blur,56,chair,18.0,30.0,167.0,215.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00433_t14.57_severe_blur/gt002,video1,Movie on 13-08-2026 at 20.16.mov,433,431,14.572,14.566667,-5.333,severe_blur,56,chair,170.0,61.0,313.0,245.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00433_t14.57_severe_blur/gt003,video1,Movie on 13-08-2026 at 20.16.mov,433,431,14.572,14.566667,-5.333,severe_blur,60,dining table,7.0,1.0,634.0,164.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00487_t16.39_moderate_blur/gt000,video1,Movie on 13-08-2026 at 20.16.mov,487,486,16.389,16.4,11.0,moderate_blur,56,chair,498.0,74.0,639.0,423.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00487_t16.39_moderate_blur/gt001,video1,Movie on 13-08-2026 at 20.16.mov,487,486,16.389,16.4,11.0,moderate_blur,56,chair,22.0,25.0,187.0,253.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00487_t16.39_moderate_blur/gt002,video1,Movie on 13-08-2026 at 20.16.mov,487,486,16.389,16.4,11.0,moderate_blur,56,chair,235.0,31.0,385.0,304.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00487_t16.39_moderate_blur/gt003,video1,Movie on 13-08-2026 at 20.16.mov,487,486,16.389,16.4,11.0,moderate_blur,56,chair,421.0,65.0,544.0,306.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00487_t16.39_moderate_blur/gt004,video1,Movie on 13-08-2026 at 20.16.mov,487,486,16.389,16.4,11.0,moderate_blur,60,dining table,5.0,3.0,626.0,155.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00541_t18.21_severe_blur/gt000,video1,Movie on 13-08-2026 at 20.16.mov,541,540,18.207,18.2,-7.0,severe_blur,56,chair,5.0,1.0,114.0,269.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00541_t18.21_severe_blur/gt001,video1,Movie on 13-08-2026 at 20.16.mov,541,540,18.207,18.2,-7.0,severe_blur,56,chair,165.0,18.0,339.0,285.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00541_t18.21_severe_blur/gt002,video1,Movie on 13-08-2026 at 20.16.mov,541,540,18.207,18.2,-7.0,severe_blur,56,chair,360.0,44.0,522.0,282.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00541_t18.21_severe_blur/gt003,video1,Movie on 13-08-2026 at 20.16.mov,541,540,18.207,18.2,-7.0,severe_blur,56,chair,535.0,71.0,638.0,295.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00541_t18.21_severe_blur/gt004,video1,Movie on 13-08-2026 at 20.16.mov,541,540,18.207,18.2,-7.0,severe_blur,60,dining table,10.0,3.0,640.0,164.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00000_t00.00_clear/gt000,video2,Movie on 13-08-2026 at 20.18.mov,0,0,0.0,0.0,0.0,clear,56,chair,4.0,3.0,199.0,297.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00000_t00.00_clear/gt001,video2,Movie on 13-08-2026 at 20.18.mov,0,0,0.0,0.0,0.0,clear,56,chair,264.0,8.0,347.0,168.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00000_t00.00_clear/gt002,video2,Movie on 13-08-2026 at 20.18.mov,0,0,0.0,0.0,0.0,clear,56,chair,318.0,22.0,431.0,209.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00000_t00.00_clear/gt003,video2,Movie on 13-08-2026 at 20.18.mov,0,0,0.0,0.0,0.0,clear,56,chair,549.0,38.0,637.0,277.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00000_t00.00_clear/gt004,video2,Movie on 13-08-2026 at 20.18.mov,0,0,0.0,0.0,0.0,clear,60,dining table,220.0,6.0,632.0,114.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00037_t01.23_moderate_blur/gt000,video2,Movie on 13-08-2026 at 20.18.mov,37,37,1.233,1.233333,0.333,moderate_blur,56,chair,386.0,147.0,640.0,396.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00037_t01.23_moderate_blur/gt001,video2,Movie on 13-08-2026 at 20.18.mov,37,37,1.233,1.233333,0.333,moderate_blur,56,chair,2.0,144.0,97.0,232.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00037_t01.23_moderate_blur/gt002,video2,Movie on 13-08-2026 at 20.18.mov,37,37,1.233,1.233333,0.333,moderate_blur,56,chair,70.0,170.0,217.0,298.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00037_t01.23_moderate_blur/gt003,video2,Movie on 13-08-2026 at 20.18.mov,37,37,1.233,1.233333,0.333,moderate_blur,56,chair,1.0,12.0,100.0,222.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00037_t01.23_moderate_blur/gt004,video2,Movie on 13-08-2026 at 20.18.mov,37,37,1.233,1.233333,0.333,moderate_blur,60,dining table,5.0,1.0,636.0,321.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00037_t01.23_moderate_blur/gt005,video2,Movie on 13-08-2026 at 20.18.mov,37,37,1.233,1.233333,0.333,moderate_blur,56,chair,105.0,22.0,226.0,215.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00113_t03.77_clear/gt000,video2,Movie on 13-08-2026 at 20.18.mov,113,113,3.767,3.766667,-0.333,clear,56,chair,204.0,6.0,628.0,423.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00113_t03.77_clear/gt001,video2,Movie on 13-08-2026 at 20.18.mov,113,113,3.767,3.766667,-0.333,clear,60,dining table,452.0,15.0,636.0,77.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00151_t05.03_moderate_blur/gt000,video2,Movie on 13-08-2026 at 20.18.mov,151,151,5.033,5.033333,0.333,moderate_blur,56,chair,1.0,2.0,367.0,426.0,False,,150,-1,5.0,0.2081,,,,,1,True,True,True,False,False,False,
video2/v02_20-18_f00151_t05.03_moderate_blur/gt001,video2,Movie on 13-08-2026 at 20.18.mov,151,151,5.033,5.033333,0.333,moderate_blur,56,chair,348.0,61.0,527.0,338.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00151_t05.03_moderate_blur/gt002,video2,Movie on 13-08-2026 at 20.18.mov,151,151,5.033,5.033333,0.333,moderate_blur,56,chair,539.0,92.0,637.0,387.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00151_t05.03_moderate_blur/gt003,video2,Movie on 13-08-2026 at 20.18.mov,151,151,5.033,5.033333,0.333,moderate_blur,56,chair,192.0,37.0,349.0,275.0,False,,,,,,,,,,,False,False,False,True,True,True,ambiguous_offsets=-1;no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00151_t05.03_moderate_blur/gt004,video2,Movie on 13-08-2026 at 20.18.mov,151,151,5.033,5.033333,0.333,moderate_blur,60,dining table,150.0,11.0,635.0,197.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00189_t06.30_severe_blur/gt000,video2,Movie on 13-08-2026 at 20.18.mov,189,189,6.3,6.3,0.0,severe_blur,56,chair,235.0,11.0,634.0,426.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video2/v02_20-18_f00189_t06.30_severe_blur/gt001,video2,Movie on 13-08-2026 at 20.18.mov,189,189,6.3,6.3,0.0,severe_blur,56,chair,50.0,16.0,260.0,334.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
